term,docID
یافت#یاب,21
پارنی‌ها,21
تصرف,21
پار,21
عادت,21
چادرنشین,21
شبان,21
سکایی,21
نگاه,21
پارنی‌ها,21
مردمی,21
سوارکار,21
دلیر,21
آزادگان,21
رفت#رو,21
پیاده,21
رفتن,21
دون,21
دانست#دان,21
اسب,21
ران,21
تیر,21
کمان,21
سلاح,21
ملی,21
خصوصیت,21
جنگی,21
جنگ,21
گریز,21
حیله,21
گرانه,21
سوار,21
پارتی,21
حین,21
گریز,21
ناگهان,21
عقب,21
بازمیگشت,21
دشمن,21
تیر,21
انداخت#انداز,21
کوتاه,21
حمله,21
آغاز,21
مجموع,21
نوشته,21
مورخ,21
قدیم,21
نتیجه,21
گرفت#گیر,21
پارتی,21
آریا,21
ایران,21
بودند…,21
پیمانه,22
مبانی,22
الکتریسیته,22
جمله,22
پیمانه,22
مهارت,22
برق,22
سرفصل,22
تعریف,22
استاندارد,22
تفاوت,22
جدول,22
ساعات,22
پیمانه,22
مهارت,22
گوناگون,22
نشان,22
دلیل,22
تصمیم,22
کتاب,22
بیش,22
زمان,22
سرفصل,22
درس,22
مشترک,22
تأمین,22
نظرات,22
کمیسیون,22
تخصص,22
رشته,22
برق,22
محقق,22
کلیه,22
رشته,22
مندرج,22
جدول,22
کتاب,22
آموزش,22
مبانی,22
الکتریسیته,22
استفاده,22
شرایط,22
هنرآموز,22
مربیان,22
محترم,22
توجه,22
محتوی,22
ساعات,22
رشته,22
استاندارد,22
مهارت,22
قسمت,22
کتاب,22
استاندارد,22
پوشش,22
انتخاب,22
آموزش,22
یادآور,22
ارزشیابی,22
پایان,22
می‌بایست,22
توجه,22
استاندارد,22
مهارت,22
